2023-12-19,161.5600
2023-12-20,160.0500
2023-12-21,160.7800
2023-12-22,162.1400
2023-12-26,163.2100
2023-12-27,163.4600
2023-12-28,163.7500
2023-12-29,163.5500
2024-01-02,161.5000
2024-01-03,160.1000
2024-01-04,160.8600
2024-01-05,159.1600
2024-01-08,161.1400
2024-01-09,160.0800
2024-01-10,161.2300
2024-01-11,162.1600
2024-01-12,165.8000
2024-01-16,166.9600
2024-01-17,166.0800
2024-01-18,166.8400
2024-01-19,171.4800
2024-01-22,172.8300
2024-01-23,173.9400
2024-01-24,173.9300
2024-01-25,190.4300
2024-01-26,187.4200
2024-01-29,187.1400
2024-01-30,187.8700
2024-01-31,183.6600
2024-02-01,186.9000
2024-02-02,185.7900
2024-02-05,183.4200
2024-02-06,183.4100
2024-02-07,183.7400
2024-02-08,184.3600
2024-02-09,186.3400
2024-02-12,186.1600
2024-02-13,183.7000
2024-02-14,183.5700
2024-02-15,186.8700
2024-02-16,187.6400
2024-02-20,183.4400
2024-02-21,179.7000
2024-02-22,184.2100
2024-02-23,185.7200
2024-02-26,184.1300
2024-02-27,184.8700
2024-02-28,185.3000
2024-02-29,185.0300
2024-03-01,188.2000
2024-03-04,193.0600
2024-03-05,191.9500
2024-03-06,196.1600
2024-03-07,196.5400
2024-03-08,195.9500
2024-03-11,191.7300
2024-03-12,197.7800
2024-03-13,196.7000
2024-03-14,193.4300
2024-03-15,191.0700
2024-03-18,191.6900
2024-03-19,193.3400
2024-03-20,193.9600
2024-03-21,191.9000
2024-03-22,190.8400
2024-03-25,188.7900
2024-03-26,188.5000
2024-03-27,190.8000
2024-03-28,190.9600
2024-04-01,189.8300
2024-04-02,188.8800
2024-04-03,190.9000
2024-04-04,187.9400
2024-04-05,189.1400
2024-04-08,189.8200
2024-04-09,189.3100
2024-04-10,186.0400
2024-04-11,185.9000
2024-04-12,182.2700
2024-04-15,181.2500
2024-04-16,183.7500
2024-04-17,183.1000
2024-04-18,181.4700
2024-04-19,181.5800
2024-04-22,181.9000
2024-04-23,182.1900
2024-04-24,184.1000
2024-04-25,168.9100
2024-04-26,167.1300
2024-04-29,167.4300
2024-04-30,166.2000
2024-05-01,164.4300
2024-05-02,164.6900
2024-05-03,165.7100
2024-05-06,168.6100
2024-05-07,168.3800
2024-05-08,169.9000
2024-05-09,166.2700
2024-05-10,167.1500
2024-05-13,167.5600
